time-ex3t1-simu;exx-ex3t1-simu;sxx-ex3t1-simu
243;0.00179301;35.8602
244;0.00180039;36.0078
245;0.00180777;36.1553
246;0.00181515;36.3029
247;0.00182252;36.4505
248;0.0018299;36.5981
249;0.00183728;36.7456
250;0.00184466;36.8932
251;0.00185204;37.0408
252;0.00185942;37.1883
253;0.0018668;37.3359
254;0.00187417;37.4835
255;0.00188155;37.6311
256;0.00188893;37.7786
257;0.00189631;37.9262
258;0.00190369;38.0738
259;0.00191107;38.2214
260;0.00191845;38.3689
261;0.00192583;38.5165
262;0.0019332;38.6641
263;0.00194058;38.8117
264;0.00194796;38.9592
265;0.00195534;39.1068
266;0.00196272;39.2544
267;0.0019701;39.4019
268;0.00197748;39.5495
269;0.00198485;39.6971
270;0.00199223;39.8447
271;0.00199961;39.9922
272;0.00200699;40.1398
273;0.00201437;40.2874
274;0.00202175;40.435
275;0.00202913;40.5825
276;0.0020365;40.7301
277;0.00204388;40.8777
278;0.00205126;41.0252
279;0.00205864;41.1728
280;0.00206602;41.3204
281;0.0020734;41.468
282;0.00208078;41.6155
283;0.00208816;41.7631
284;0.00209553;41.9107
285;0.00210291;42.0583
286;0.00211029;42.2058
287;0.00211767;42.3534
288;0.00212505;42.501
289;0.00213243;42.6485
290;0.00213981;42.7961
291;0.00214718;42.9437
292;0.00215456;43.0913
293;0.00216194;43.2388
294;0.00216932;43.3864
295;0.0021767;43.534
296;0.00218408;43.6816
297;0.00219146;43.8291
298;0.00219883;43.9767
299;0.00220621;44.1243
300;0.00221359;44.2718
301;0.00222097;44.4194
302;0.00222835;44.567
303;0.00223573;44.7146
304;0.00224311;44.8621
305;0.00225049;45.0097
306;0.00225786;45.1573
307;0.00226524;45.3049
308;0.00227262;45.4524
309;0.00228;45.6
310;0.00228738;45.7476
311;0.00229476;45.8951
312;0.00230214;46.0427
313;0.00230951;46.1903
314;0.00231689;46.3379
315;0.00232427;46.4854
316;0.00233165;46.633
317;0.00233903;46.7806
318;0.00234641;46.9282
319;0.00235379;47.0757
320;0.00236117;47.2233
321;0.00236854;47.3709
322;0.00237592;47.5184
323;0.0023833;47.666
324;0.00239068;47.8136
325;0.00239806;47.9612
326;0.00240544;48.1087
327;0.00241282;48.2563
328;0.00242019;48.4039
329;0.00242757;48.5515
330;0.00243495;48.699
331;0.00244233;48.8466
332;0.00244971;48.9942
333;0.00245709;49.1417
334;0.00246447;49.2893
335;0.00247184;49.4369
336;0.00247922;49.5845
337;0.0024866;49.732
338;0.00249398;49.8796
339;0.00250136;50.0272
340;0.00250874;50.1748
341;0.00251612;50.3223
342;0.0025235;50.4699
343;0.00253087;50.6175
344;0.00253825;50.765
345;0.00254563;50.9126
346;0.00255301;51.0602
347;0.00256039;51.2078
348;0.00256777;51.3553
349;0.00257515;51.5029
350;0.00258252;51.6505
351;0.0025899;51.7981
352;0.00259728;51.9456
353;0.00260466;52.0932
354;0.00261204;52.2408
355;0.00261942;52.3883
356;0.0026268;52.5359
357;0.00263417;52.6835
358;0.00264155;52.8311
359;0.00264893;52.9786
360;0.00265631;53.1262
361;0.00266369;53.2738
362;0.00267107;53.4214
363;0.00267845;53.5689
364;0.00268583;53.7165
365;0.0026932;53.8641
366;0.00270058;54.0117
367;0.00270796;54.1592
368;0.00271534;54.3068
369;0.00272272;54.4544
370;0.0027301;54.6019
371;0.00273748;54.7495
372;0.00274485;54.8971
373;0.00275223;55.0447
374;0.00275961;55.1922
375;0.00276699;55.3398
376;0.00277437;55.4874
377;0.00278175;55.635
378;0.00278913;55.7825
379;0.0027965;55.9301
380;0.00280388;56.0777
381;0.00281126;56.2252
382;0.00281864;56.3728
383;0.00282602;56.5204
384;0.0028334;56.668
385;0.00284078;56.8155
386;0.00284816;56.9631
387;0.00285553;57.1107
388;0.00286291;57.2583
389;0.00287029;57.4058
390;0.00287767;57.5534
391;0.00288505;57.701
392;0.00289243;57.8485
393;0.00289981;57.9961
394;0.00290718;58.1437
395;0.00291456;58.2913
396;0.00292194;58.4388
397;0.00292932;58.5864
398;0.0029367;58.734
399;0.00294408;58.8816
400;0.00295146;59.0291
401;0.00295883;59.1767
402;0.00296621;59.3243
403;0.00297359;59.4718
404;0.00298097;59.6194
405;0.00298835;59.767
406;0.00299573;59.9146
407;0.00300311;60.0621
408;0.00301049;60.2097
409;0.00301786;60.3573
410;0.00302524;60.5049
411;0.00303262;60.6524
412;0.00304;60.8
413;0.00304738;60.9476
414;0.00305476;61.0951
415;0.00306214;61.2427
416;0.00306951;61.3903
417;0.00307689;61.5379
418;0.00308427;61.6854
419;0.00309165;61.833
420;0.00309903;61.9806
421;0.00310641;62.1282
422;0.00311379;62.2757
423;0.00312117;62.4233
424;0.00312854;62.5709
425;0.00313592;62.7184
426;0.0031433;62.866
427;0.00315068;63.0136
428;0.00315806;63.1612
429;0.00316544;63.3087
430;0.00317282;63.4563
431;0.00318019;63.6039
432;0.00318757;63.7515
433;0.00319495;63.899
434;0.00320233;64.0466
435;0.00320971;64.1942
436;0.00321709;64.3417
437;0.00322447;64.4893
438;0.00323184;64.6369
439;0.00323922;64.7845
440;0.0032466;64.932
441;0.00325398;65.0796
442;0.00326136;65.2272
443;0.00326874;65.3748
444;0.00327612;65.5223
445;0.0032835;65.6699
446;0.00329087;65.8175
447;0.00329825;65.965
448;0.00330563;66.1126
449;0.00331301;66.2602
450;0.00332039;66.4078
451;0.00332777;66.5553
452;0.00333515;66.7029
453;0.00334252;66.8505
454;0.0033499;66.9981
455;0.00335728;67.1456
456;0.00336466;67.2932
457;0.00337204;67.4408
458;0.00337942;67.5883
459;0.0033868;67.7359
460;0.00339417;67.8835
461;0.00340155;68.0311
462;0.00340893;68.1786
463;0.00341631;68.3262
464;0.00342369;68.4738
465;0.00343107;68.6214
466;0.00343845;68.7689
467;0.00344583;68.9165
468;0.0034532;69.0641
469;0.00346058;69.2117
470;0.00346796;69.3592
471;0.00347534;69.5068
472;0.00348272;69.6544
473;0.0034901;69.8019
474;0.00349748;69.9495
475;0.00350485;70.0971
476;0.00351223;70.2447
477;0.00351961;70.3922
478;0.00352699;70.5398
479;0.00353437;70.6874
480;0.00354175;70.835
481;0.00354913;70.9825
482;0.0035565;71.1301
483;0.00356388;71.2777
484;0.00357126;71.4252
485;0.00357864;71.5728
486;0.00358602;71.7204
487;0.0035934;71.868
488;0.00360078;72.0155
489;0.00360816;72.1631
490;0.00361553;72.3107
491;0.00362291;72.4583
492;0.00363029;72.6058
493;0.00363767;72.7534
494;0.00364505;72.901
495;0.00365243;73.0485
496;0.00365981;73.1961
497;0.00366718;73.3437
498;0.00367456;73.4913
499;0.00368194;73.6388
500;0.00368932;73.7864
501;0.0036967;73.934
502;0.00370408;74.0816
503;0.00371146;74.2291
504;0.00371883;74.3767
505;0.00372621;74.5243
506;0.00373359;74.6718
507;0.00374097;74.8194
508;0.00374835;74.967
509;0.00375573;75.1146
510;0.00376311;75.2621
511;0.00377049;75.4097
512;0.00377786;75.5573
513;0.00378524;75.7049
514;0.00379262;75.8524
515;0.0038;76.0
516;0.00380738;76.1476
517;0.00381476;76.2951
518;0.00382214;76.4427
519;0.00382951;76.5903
520;0.00383689;76.7379
521;0.00384427;76.8854
522;0.00385165;77.033
523;0.00385903;77.1806
524;0.00386641;77.3282
525;0.00387379;77.4757
526;0.00388117;77.6233
527;0.00388854;77.7709
528;0.00389592;77.9184
529;0.0039033;78.066
530;0.00391068;78.2136
531;0.00391806;78.3612
532;0.00392544;78.5087
533;0.00393282;78.6563
534;0.00394019;78.8039
535;0.00394757;78.9515
536;0.00395495;79.099
537;0.00396233;79.2466
538;0.00396971;79.3942
539;0.00397709;79.5417
540;0.00398447;79.6893
541;0.00399184;79.8369
542;0.00399922;79.9845
543;0.0040066;80.132
544;0.00401398;80.2796
545;0.00402136;80.4272
546;0.00402874;80.5748
547;0.00403612;80.7223
548;0.0040435;80.8699
549;0.00405087;81.0175
550;0.00405825;81.165
551;0.00406563;81.3126
552;0.00407301;81.4602
553;0.00408039;81.6078
554;0.00408777;81.7553
555;0.00409515;81.9029
556;0.00410252;82.0505
557;0.0041099;82.1981
558;0.00411728;82.3456
559;0.00412466;82.4932
560;0.00413204;82.6408
561;0.00413942;82.7883
562;0.0041468;82.9359
563;0.00415417;83.0835
564;0.00416155;83.2311
565;0.00416893;83.3786
566;0.00417631;83.5262
567;0.00418369;83.6738
568;0.00419107;83.8214
569;0.00419845;83.9689
570;0.00420583;84.1165
571;0.0042132;84.2641
572;0.00422058;84.4117
573;0.00422796;84.5592
574;0.00423534;84.7068
575;0.00424272;84.8544
576;0.0042501;85.0019
577;0.00425748;85.1495
578;0.00426485;85.2971
579;0.00427223;85.4447
580;0.00427961;85.5922
581;0.00428699;85.7398
582;0.00429437;85.8874
583;0.00430175;86.035
584;0.00430913;86.1825
585;0.0043165;86.3301
586;0.00432388;86.4777
587;0.00433126;86.6252
588;0.00433864;86.7728
589;0.00434602;86.9204
590;0.0043534;87.068
591;0.00436078;87.2155
592;0.00436816;87.3631
593;0.00437553;87.5107
594;0.00438291;87.6583
595;0.00439029;87.8058
596;0.00439767;87.9534
597;0.00440505;88.101
598;0.00441243;88.2485
599;0.00441981;88.3961
600;0.00442718;88.5437
601;0.00443456;88.6913
602;0.00444194;88.8388
603;0.00444932;88.9864
604;0.0044567;89.134
605;0.00446408;89.2816
606;0.00447146;89.4291
607;0.00447883;89.5767
608;0.00448621;89.7243
609;0.00449359;89.8718
610;0.00450097;90.0194
611;0.00450835;90.167
612;0.00451573;90.3146
613;0.00452311;90.4621
614;0.00453049;90.6097
615;0.00453786;90.7573
616;0.00454524;90.9049
617;0.00455262;91.0524
618;0.00456;91.2
619;0.00456738;91.3476
620;0.00457476;91.4951
621;0.00458214;91.6427
622;0.00458951;91.7903
623;0.00459689;91.9379
624;0.00460427;92.0854
625;0.00461165;92.233
626;0.00461903;92.3806
627;0.00462641;92.5282
628;0.00463379;92.6757
629;0.00464117;92.8233
630;0.00464854;92.9709
631;0.00465592;93.1184
632;0.0046633;93.266
633;0.00467068;93.4136
634;0.00467806;93.5612
635;0.00468544;93.7087
636;0.00469282;93.8563
637;0.00470019;94.0039
638;0.00470757;94.1515
639;0.00471495;94.299
640;0.00472233;94.4466
641;0.00472971;94.5942
642;0.00473709;94.7417
643;0.00474447;94.8893
644;0.00475184;95.0369
645;0.00475922;95.1845
646;0.0047666;95.332
647;0.00477398;95.4796
648;0.00478136;95.6272
649;0.00478874;95.7748
650;0.00479612;95.9223
651;0.0048035;96.0699
652;0.00481087;96.2175
653;0.00481825;96.365
654;0.00482563;96.5126
655;0.00483301;96.6602
656;0.00484039;96.8078
657;0.00484777;96.9553
658;0.00485515;97.1029
659;0.00486252;97.2505
660;0.0048699;97.3981
661;0.00487728;97.5456
662;0.00488466;97.6932
663;0.00489204;97.8408
664;0.00489942;97.9883
665;0.0049068;98.1359
666;0.00491417;98.2835
667;0.00492155;98.4311
668;0.00492893;98.5786
669;0.00493631;98.7262
670;0.00494369;98.8738
671;0.00495107;99.0214
672;0.00495845;99.1689
673;0.00496583;99.3165
674;0.0049732;99.4641
675;0.00498058;99.6117
676;0.00498796;99.7592
677;0.00499534;99.9068
678;0.00500272;100.054
679;0.0050101;100.202
680;0.00501748;100.35
681;0.00502485;100.497
682;0.00503223;100.645
683;0.00503961;100.792
684;0.00504699;100.94
685;0.00505437;101.087
686;0.00506175;101.235
687;0.00506913;101.383
688;0.0050765;101.53
689;0.00508388;101.678
690;0.00509126;101.825
691;0.00509864;101.973
692;0.00510602;102.12
693;0.0051134;102.268
694;0.00512078;102.416
695;0.00512816;102.563
696;0.00513553;102.711
697;0.00514291;102.858
698;0.00515029;103.006
699;0.00515767;103.153
700;0.00516505;103.301
701;0.00517243;103.449
702;0.00517981;103.596
703;0.00518718;103.744
704;0.00519456;103.891
705;0.00520194;104.039
706;0.00520932;104.186
707;0.0052167;104.334
708;0.00522408;104.482
709;0.00523146;104.629
710;0.00523883;104.777
711;0.00524621;104.924
712;0.00525359;105.072
713;0.00526097;105.219
714;0.00526835;105.367
715;0.00527573;105.515
716;0.00528311;105.662
717;0.00529049;105.81
718;0.00529786;105.957
719;0.00530524;106.105
720;0.00531262;106.252
721;0.00532;106.4
722;0.00532738;106.548
723;0.00533476;106.695
724;0.00534214;106.843
725;0.00534951;106.99
726;0.00535689;107.138
727;0.00536427;107.285
728;0.00537165;107.433
729;0.00537903;107.581
