time-traction1_ex2_cnl;exx-traction1_ex2_cnl;sxx-traction1_ex2_cnl
289;0.0289;578.0
290;0.029;580.0
291;0.0291;582.0
292;0.0292;584.0
293;0.0293;586.0
294;0.0294;588.0
295;0.0295;590.0
296;0.0296;592.0
297;0.0297;594.0
298;0.0298;596.0
299;0.0299;598.0
300;0.03;600.0
301;0.0301;602.0
302;0.0302;604.0
303;0.0303;606.0
304;0.0304;608.0
305;0.0305;610.0
306;0.0306;612.0
307;0.0307;614.0
308;0.0308;616.0
309;0.0309;618.0
310;0.031;620.0
311;0.0311;622.0
312;0.0312;624.0
313;0.0313;626.0
314;0.0314;628.0
315;0.0315;630.0
316;0.0316;632.0
317;0.0317;634.0
318;0.0318;636.0
319;0.0319;638.0
320;0.032;640.0
321;0.0321;642.0
322;0.0322;644.0
323;0.0323;646.0
324;0.0324;648.0
325;0.0325;650.0
326;0.0326;652.0
327;0.0327;654.0
328;0.0328;656.0
329;0.0329;658.0
330;0.033;660.0
331;0.0331;662.0
332;0.0332;664.0
333;0.0333;666.0
334;0.0334;668.0
335;0.0335;670.0
336;0.0336;672.0
337;0.0337;674.0
338;0.0338;676.0
339;0.0339;678.0
340;0.034;680.0
341;0.0341;682.0
342;0.0342;684.0
343;0.0343;686.0
344;0.0344;688.0
345;0.0345;690.0
346;0.0346;692.0
347;0.0347;694.0
348;0.0348;696.0
349;0.0349;698.0
350;0.035;700.0
351;0.0351;702.0
352;0.0352;704.0
353;0.0353;706.0
354;0.0354;708.0
355;0.0355;710.0
356;0.0356;712.0
357;0.0357;714.0
358;0.0358;716.0
359;0.0359;718.0
360;0.036;720.0
361;0.0361;722.0
362;0.0362;724.0
363;0.0363;726.0
364;0.0364;728.0
365;0.0365;730.0
366;0.0366;732.0
367;0.0367;734.0
368;0.0368;736.0
369;0.0369;738.0
370;0.037;740.0
371;0.0371;742.0
372;0.0372;744.0
373;0.0373;746.0
374;0.0374;748.0
375;0.0375;750.0
376;0.0376;752.0
377;0.0377;754.0
378;0.0378;756.0
379;0.0379;758.0
