time-cyclique1_ex2_il;exx-cyclique1_ex2_il;sxx-cyclique1_ex2_il
248;0.00693333;138.667
249;0.0068;136.0
250;0.00666667;133.333
251;0.00653333;130.667
252;0.0064;128.0
253;0.00626667;125.333
254;0.00613333;122.667
255;0.006;120.0
256;0.00586667;117.333
257;0.00573333;114.667
258;0.0056;112.0
259;0.00546667;109.333
260;0.00533333;106.667
261;0.0052;104.0
262;0.00506667;101.333
263;0.00493333;98.6667
264;0.0048;96.0
265;0.00466667;93.3333
266;0.00453333;90.6667
267;0.0044;88.0
268;0.00426667;85.3333
269;0.00413333;82.6667
270;0.004;80.0
271;0.00386667;77.3333
272;0.00373333;74.6667
273;0.0036;72.0
274;0.00346667;69.3333
275;0.00333333;66.6667
276;0.0032;64.0
277;0.00306667;61.3333
278;0.00293333;58.6667
279;0.0028;56.0
280;0.00266667;53.3333
281;0.00253333;50.6667
282;0.0024;48.0
283;0.00226667;45.3333
284;0.00213333;42.6667
285;0.002;40.0
286;0.00186667;37.3333
287;0.00173333;34.6667
288;0.0016;32.0
289;0.00146667;29.3333
290;0.00133333;26.6667
291;0.0012;24.0
292;0.00106667;21.3333
293;0.000933333;18.6667
294;0.0008;16.0
295;0.000666667;13.3333
296;0.000533333;10.6667
297;0.0004;8.0
298;0.000266667;5.33333
299;0.000133333;2.66667
300;-5.42101e-19;9.33039e-15
301;-0.000133333;-2.66667
302;-0.000266667;-5.33333
303;-0.0004;-8.0
304;-0.000533333;-10.6667
305;-0.000666667;-13.3333
306;-0.0008;-16.0
307;-0.000933333;-18.6667
308;-0.00106667;-21.3333
309;-0.0012;-24.0
310;-0.00133333;-26.6667
311;-0.00146667;-29.3333
312;-0.0016;-32.0
313;-0.00173333;-34.6667
314;-0.00186667;-37.3333
315;-0.002;-40.0
316;-0.00213333;-42.6667
317;-0.00226667;-45.3333
318;-0.0024;-48.0
319;-0.00253333;-50.6667
320;-0.00266667;-53.3333
321;-0.0028;-56.0
322;-0.00293333;-58.6667
323;-0.00306667;-61.3333
324;-0.0032;-64.0
325;-0.00333333;-66.6667
326;-0.00346667;-69.3333
327;-0.0036;-72.0
328;-0.00373333;-74.6667
329;-0.00386667;-77.3333
330;-0.004;-80.0
331;-0.00413333;-82.6667
332;-0.00426667;-85.3333
333;-0.0044;-88.0
334;-0.00453333;-90.6667
335;-0.00466667;-93.3333
336;-0.0048;-96.0
337;-0.00493333;-98.6667
338;-0.00506667;-101.333
339;-0.0052;-104.0
340;-0.00533333;-106.667
341;-0.00546667;-109.333
342;-0.0056;-112.0
343;-0.00573333;-114.667
344;-0.00586667;-117.333
345;-0.006;-120.0
346;-0.00613333;-122.667
347;-0.00626667;-125.333
348;-0.0064;-128.0
349;-0.00653333;-130.667
350;-0.00666667;-133.333
351;-0.0068;-136.0
352;-0.00693333;-138.667
353;-0.00706667;-141.333
354;-0.0072;-144.0
355;-0.00733333;-146.667
356;-0.00746667;-149.333
357;-0.0076;-152.0
358;-0.00773333;-154.667
359;-0.00786667;-157.333
360;-0.008;-160.0
361;-0.00813333;-162.667
362;-0.00826667;-165.333
363;-0.0084;-168.0
364;-0.00853333;-170.667
365;-0.00866667;-173.333
366;-0.0088;-176.0
367;-0.00893333;-178.667
368;-0.00906667;-181.333
369;-0.0092;-184.0
370;-0.00933333;-186.667
371;-0.00946667;-189.333
372;-0.0096;-192.0
373;-0.00973333;-194.667
374;-0.00986667;-197.333
375;-0.01;-200.0
376;-0.0101333;-202.667
377;-0.0102667;-205.333
378;-0.0104;-208.0
379;-0.0105333;-210.667
380;-0.0106667;-213.333
381;-0.0108;-216.0
382;-0.0109333;-218.667
383;-0.0110667;-221.333
384;-0.0112;-224.0
385;-0.0113333;-226.667
386;-0.0114667;-229.333
387;-0.0116;-232.0
388;-0.0117333;-234.667
389;-0.0118667;-237.333
390;-0.012;-240.0
391;-0.0121333;-242.667
392;-0.0122667;-245.333
393;-0.0124;-248.0
394;-0.0125333;-250.667
395;-0.0126667;-253.333
396;-0.0128;-256.0
397;-0.0129333;-258.667
398;-0.0130667;-261.333
399;-0.0132;-264.0
400;-0.0133333;-266.667
401;-0.0134667;-269.333
402;-0.0136;-272.0
403;-0.0137333;-274.667
404;-0.0138667;-277.333
405;-0.014;-280.0
406;-0.0141333;-282.667
407;-0.0142667;-285.333
408;-0.0144;-288.0
409;-0.0145333;-290.667
410;-0.0146667;-293.333
411;-0.0148;-296.0
412;-0.0149333;-298.667
413;-0.0150667;-301.333
414;-0.0152;-304.0
415;-0.0153333;-306.667
416;-0.0154667;-309.333
417;-0.0156;-312.0
418;-0.0157333;-314.667
419;-0.0158667;-317.333
420;-0.016;-320.0
421;-0.0161333;-322.667
422;-0.0162667;-325.333
423;-0.0164;-328.0
424;-0.0165333;-330.667
425;-0.0166667;-333.333
426;-0.0168;-336.0
427;-0.0169333;-338.667
428;-0.0170667;-341.333
429;-0.0172;-344.0
430;-0.0173333;-346.667
431;-0.0174667;-349.333
432;-0.0176;-352.0
433;-0.0177333;-354.667
434;-0.0178667;-357.333
435;-0.018;-360.0
436;-0.0181333;-362.667
437;-0.0182667;-365.333
438;-0.0184;-368.0
439;-0.0185333;-370.667
440;-0.0186667;-373.333
441;-0.0188;-376.0
442;-0.0189333;-378.667
443;-0.0190667;-381.333
444;-0.0192;-384.0
445;-0.0193333;-386.667
446;-0.0194667;-389.333
447;-0.0196;-392.0
448;-0.0197333;-394.667
449;-0.0198667;-397.333
450;-0.02;-400.0
451;-0.0198667;-397.333
452;-0.0197333;-394.667
453;-0.0196;-392.0
454;-0.0194667;-389.333
455;-0.0193333;-386.667
456;-0.0192;-384.0
457;-0.0190667;-381.333
458;-0.0189333;-378.667
459;-0.0188;-376.0
460;-0.0186667;-373.333
461;-0.0185333;-370.667
462;-0.0184;-368.0
463;-0.0182667;-365.333
464;-0.0181333;-362.667
465;-0.018;-360.0
466;-0.0178667;-357.333
467;-0.0177333;-354.667
468;-0.0176;-352.0
469;-0.0174667;-349.333
470;-0.0173333;-346.667
471;-0.0172;-344.0
472;-0.0170667;-341.333
473;-0.0169333;-338.667
474;-0.0168;-336.0
475;-0.0166667;-333.333
476;-0.0165333;-330.667
477;-0.0164;-328.0
478;-0.0162667;-325.333
479;-0.0161333;-322.667
480;-0.016;-320.0
481;-0.0158667;-317.333
482;-0.0157333;-314.667
483;-0.0156;-312.0
484;-0.0154667;-309.333
485;-0.0153333;-306.667
486;-0.0152;-304.0
487;-0.0150667;-301.333
488;-0.0149333;-298.667
489;-0.0148;-296.0
490;-0.0146667;-293.333
491;-0.0145333;-290.667
492;-0.0144;-288.0
493;-0.0142667;-285.333
494;-0.0141333;-282.667
