Time,EXX,SXX
0,0,2.08
0.1,0,2.08
0.2,0,2.08
0.3,0,2.08
0.4,0,2.08
0.5,0,2.08
0.6,-0.00001,2.08
0.7,0,2.08
0.8,0,2.08
0.9,-0.00001,2.08
1,-0.00001,2.08
1.1,0,2.08
1.2,0,2.08
1.3,0,2.08
1.4,0,2.08
1.5,0,2.08
1.6,0,2.08
1.7,-0.00001,2.08
1.8,0,2.08
1.9,0,2.08
2,0,2.08
2.1,0,2.08
2.2,0,2.08
2.3,0,2.08
2.4,-0.00001,2.08
2.5,0,2.08
2.6,0,2.08
2.7,0,2.08
2.8,0,2.08
2.9,0,2.08
3,0,2.08
3.1,-0.00001,2.08
3.2,0,2.08
3.3,0,2.08
3.4,-0.00001,2.08
3.5,-0.00001,2.08
3.6,0,2.08
3.7,0,2.08
3.8,0,2.08
3.9,0,2.08
4,0,2.08
4.1,0,2.08
4.2,0,2.08
4.3,0,2.08
4.4,0,2.08
4.5,0,2.08
4.6,0,2.49
4.7,0,2.49
4.8,0,3.01
4.9,0,3.01
5,0,3.53
5.1,0,3.53
5.2,0,4.05
5.3,-0.00001,4.05
5.4,0,4.05
5.5,0,4.05
5.6,0,4.05
5.7,0,4.05
5.8,0,4.05
5.9,0,4.05
6,0,4.05
6.1,0,4.05
6.2,0,4.05
6.3,0,4.05
6.4,0,4.05
6.5,0,4.05
6.6,0,4.57
6.7,0,4.05
6.8,0.00001,4.57
6.9,0,4.57
7,0,4.57
7.1,0,4.57
7.2,0,4.57
7.3,0,4.57
7.4,0,4.57
7.5,0,5.09
7.6,0.00001,5.09
7.7,0,5.09
7.8,0,5.09
7.9,0,5.09
8,0,5.09
8.1,0,4.57
8.2,0,5.09
8.3,0,5.09
8.4,0,5.09
8.5,0,4.57
8.6,0.00001,5.09
8.7,0.00001,4.57
8.8,0,4.57
8.9,0,4.57
9,0.00001,4.57
9.1,0,4.57
9.2,0,4.57
9.3,0.00001,4.57
9.4,0.00001,4.57
9.5,0,4.57
9.6,0.00001,4.57
9.7,0.00001,4.57
9.8,0,4.57
9.9,0,4.57
10,0.00001,4.57
10.1,0.00001,4.57
10.2,0,4.57
10.3,0,4.57
10.4,0.00001,4.57
10.5,0.00001,4.57
10.6,0,4.57
10.7,0.00001,4.57
10.8,0.00001,4.57
10.9,0,4.57
11,0.00001,4.57
11.1,0.00001,4.57
11.2,0.00001,4.57
11.3,0,4.57
11.4,0,4.57
11.5,0.00001,4.57
11.6,0,4.57
11.7,0,4.57
11.8,0.00001,4.57
11.9,0,4.57
12,0,4.57
12.1,0.00001,4.57
12.2,0.00001,4.57
12.3,0,4.57
12.4,0,4.57
12.5,0.00001,4.57
12.6,0,4.57
12.7,0,4.57
12.8,0,4.57
12.9,0.00001,4.57
13,0.00001,4.57
13.1,0,4.57
13.2,0.00001,4.57
13.3,0.00001,4.57
13.4,0,4.57
13.5,0.00001,4.57
13.6,0.00001,4.57
13.7,0.00001,4.57
13.8,0,4.57
13.9,0.00001,4.57
14,0.00001,4.57
14.1,0,4.57
14.2,0.00001,4.57
14.3,0.00001,4.57
14.4,0.00001,5.09
14.5,0,4.57
14.6,0.00001,4.57
14.7,0.00001,5.09
14.8,0.00001,5.09
14.9,0.00001,5.09
15,0.00001,5.09
15.1,0.00001,5.61
15.2,0,5.61
15.3,0,5.61
15.4,0.00001,5.61
15.5,0.00001,5.61
15.6,0.00001,5.61
15.7,0.00001,6.13
15.8,0.00001,6.13
15.9,0.00001,6.13
16,0.00001,6.13
16.1,0.00001,6.13
16.2,0.00001,6.55
16.3,0.00001,6.55
16.4,0.00001,6.55
16.5,0.00001,6.55
16.6,0.00001,7.07
16.7,0.00001,7.07
16.8,0.00001,7.07
16.9,0.00001,7.07
17,0,7.59
17.1,0.00001,7.59
17.2,0.00001,7.59
17.3,0.00001,7.59
17.4,0.00001,7.59
17.5,0.00001,7.59
17.6,0.00001,8.11
17.7,0.00001,8.11
17.8,0.00001,8.11
17.9,0.00001,8.63
18,0.00002,8.63
18.1,0.00001,8.63
18.2,0.00002,9.15
18.3,0.00001,9.15
18.4,0.00001,9.15
18.5,0.00001,9.15
18.6,0.00002,9.15
18.7,0.00002,9.67
18.8,0.00001,9.67
18.9,0.00002,9.67
19,0.00002,10.19
19.1,0.00001,10.19
19.2,0.00002,10.19
19.3,0.00002,10.19
19.4,0.00002,10.71
19.5,0.00001,10.71
19.6,0.00001,10.71
19.7,0.00002,10.71
19.8,0.00002,11.12
19.9,0.00002,11.12
20,0.00002,11.64
20.1,0.00002,11.64
20.2,0.00001,11.64
20.3,0.00002,12.16
20.4,0.00002,12.16
20.5,0.00002,12.16
20.6,0.00001,12.16
20.7,0.00002,12.68
20.8,0.00002,12.68
20.9,0.00002,12.68
21,0.00002,12.68
21.1,0.00002,13.2
21.2,0.00002,13.2
21.3,0.00002,13.72
21.4,0.00002,13.72
21.5,0.00002,14.24
21.6,0.00002,14.24
21.7,0.00002,14.24
21.8,0.00003,14.76
21.9,0.00002,14.76
22,0.00002,14.76
22.1,0.00002,15.17
22.2,0.00002,15.69
22.3,0.00002,15.69
22.4,0.00002,16.21
22.5,0.00003,16.21
22.6,0.00002,16.73
22.7,0.00001,16.73
22.8,0.00002,16.73
22.9,0.00002,17.25
23,0.00003,17.25
23.1,0.00002,17.25
23.2,0.00003,17.77
23.3,0.00003,17.77
23.4,0.00002,18.29
23.5,0.00001,18.29
23.6,0.00003,18.81
23.7,0.00003,19.33
23.8,0.00002,19.33
23.9,0.00003,19.75
24,0.00003,19.75
24.1,0.00003,20.27
24.2,0.00003,20.27
24.3,0.00003,20.79
24.4,0.00003,20.79
24.5,0.00003,21.31
24.6,0.00003,21.31
24.7,0.00003,21.83
24.8,0.00003,22.35
24.9,0.00003,22.35
25,0.00003,22.87
25.1,0.00003,22.87
25.2,0.00002,23.39
25.3,0.00002,23.39
25.4,0.00003,23.8
25.5,0.00003,24.32
25.6,0.00003,24.32
25.7,0.00003,24.32
25.8,0.00003,24.84
25.9,0.00003,25.36
26,0.00003,25.36
26.1,0.00003,25.36
26.2,0.00003,25.88
26.3,0.00003,25.88
26.4,0.00003,26.4
26.5,0.00003,26.4
26.6,0.00003,26.92
26.7,0.00003,26.92
26.8,0.00004,27.44
26.9,0.00003,27.96
27,0.00003,27.96
27.1,0.00003,27.96
27.2,0.00004,28.38
27.3,0.00003,28.89
27.4,0.00003,28.89
27.5,0.00004,28.89
27.6,0.00003,29.41
27.7,0.00003,29.93
27.8,0.00003,29.93
27.9,0.00003,30.45
28,0.00003,30.97
28.1,0.00003,30.97
28.2,0.00004,31.49
28.3,0.00003,32.01
28.4,0.00003,32.01
28.5,0.00004,32.43
28.6,0.00004,32.95
28.7,0.00003,32.95
28.8,0.00003,32.95
28.9,0.00004,33.47
29,0.00004,33.47
29.1,0.00003,33.99
29.2,0.00003,33.99
29.3,0.00003,34.51
29.4,0.00004,35.03
29.5,0.00003,35.03
29.6,0.00004,35.55
29.7,0.00004,35.55
29.8,0.00003,36.07
29.9,0.00004,36.07
30,0.00004,36.07
30.1,0.00004,36.59
30.2,0.00003,36.59
30.3,0.00004,36.59
30.4,0.00004,37
30.5,0.00004,37
30.6,0.00003,37
30.7,0.00004,37
30.8,0.00004,37
30.9,0.00003,37.52
31,0.00004,37.52
31.1,0.00004,37.52
31.2,0.00003,38.04
31.3,0.00003,38.04
31.4,0.00004,38.04
31.5,0.00003,38.56
31.6,0.00004,38.56
31.7,0.00003,38.56
31.8,0.00004,39.08
31.9,0.00003,39.08
32,0.00003,39.08
32.1,0.00003,39.08
32.2,0.00004,39.6
32.3,0.00003,39.6
32.4,0.00003,40.12
32.5,0.00003,40.12
32.6,0.00004,40.12
32.7,0.00003,40.12
32.8,0.00004,40.64
32.9,0.00003,40.64
33,0.00003,41.16
33.1,0.00003,41.16
33.2,0.00004,41.16
33.3,0.00004,41.58
33.4,0.00003,41.58
33.5,0.00004,41.58
33.6,0.00004,42.09
33.7,0.00003,42.09
33.8,0.00004,42.61
33.9,0.00004,42.61
34,0.00004,43.13
34.1,0.00004,43.13
34.2,0.00004,43.65
34.3,0.00004,44.17
34.4,0.00004,44.17
34.5,0.00004,44.69
34.6,0.00004,44.69
34.7,0.00004,45.21
