Time,EXX,SXX
0,0,0
0.07,-0.000017599,0.0545
4.36,0.000005779,10.8779
4.69,-0.000003135,22.0869
4.95,0.000018746,33.5194
5.21,0.000043184,46.1483
5.48,0.000030467,59.8466
5.68,0.000031215,71.0997
5.87,0.000044805,83.1881
6.07,0.000070116,95.9586
6.27,0.000076849,108.9306
6.47,0.000070428,121.912
6.73,0.00007741,139.7121
6.93,0.000107646,153.5457
7.13,0.000115065,167.6532
7.33,0.000113382,181.648
7.52,0.000111012,195.7636
7.72,0.000128218,210.2681
7.92,0.000148511,224.9256
8.12,0.000156397,239.7509
8.32,0.000156896,254.7122
8.51,0.000166746,269.8161
8.71,0.000186726,285.0851
8.91,0.000203527,300.0605
9.11,0.000202779,314.2764
9.31,0.000216494,327.7187
9.57,0.00024938,343.3904
9.83,0.000282764,355.7014
10.23,0.000308636,367.5758
10.82,0.00038382,377.5583
12.21,0.000456262,387.0351
13.79,0.000546407,395.5731
15.51,0.000623474,402.3337
16.76,0.00070003,407.1261
18.48,0.000772346,411.547
20.39,0.0008648,416.7182
23.17,0.001007752,422.3545
24.49,0.001080752,425.3245
26.14,0.001166592,427.8549
27.79,0.001243768,430.8446
29.44,0.001328424,433.12
30.95,0.001405232,435.5605
32.54,0.001483032,437.3814
35.84,0.00162792,441.6636
37.22,0.001702976,443.5213
38.87,0.001783272,445.2076
40.39,0.001865568,447.2722
41.71,0.001938376,448.4251
43.1,0.002012944,450.327
44.68,0.002093736,451.8016
46.6,0.002165928,453.881
47.92,0.002243104,454.7922
49.24,0.002324152,456.4207
52.4,0.002465592,459.3656
53.66,0.0025424,461.1677
55.18,0.002615216,462.0757
57.42,0.002728424,464.8014
58.94,0.002806728,465.5427
60.59,0.002886528,466.8797
63.49,0.00303116,469.8173
65.01,0.003103472,471.0618
66.99,0.003196488,472.6666
68.84,0.00328776,474.0828
70.22,0.003361072,475.6338
72.01,0.0034486,476.3352
73.52,0.003524904,478.3797
76.03,0.003650584,479.9389
77.48,0.003729384,481.362
79.13,0.003809184,482.793
80.65,0.003886736,483.8429
82.17,0.0039618,484.9973
83.75,0.004037608,486.155
85.27,0.004111912,487.0118
86.86,0.004190216,489.5276
89.5,0.004333352,490.6306
91.28,0.004427368,491.7374
92.73,0.004499432,492.6315
94.51,0.004584216,494.162
95.9,0.004657528,495.1338
98.08,0.00475628,496.296
99.66,0.004841824,497.1237
101.24,0.004917632,498.5565
103.49,0.005017376,495.3348
107.05,0.00502536,476.7383
107.32,0.005019376,463.6559
107.51,0.005001416,450.9159
107.71,0.004997432,436.6811
107.91,0.004986456,421.1492
108.04,0.004979472,410.2464
108.17,0.004971496,399.342
108.31,0.004959528,388.2057
108.44,0.004950048,377.0769
108.57,0.004941568,365.3499
108.77,0.004932592,347.3932
108.9,0.004927608,334.7009
109.03,0.00491464,322.0684
109.16,0.00489968,309.1341
109.3,0.004886208,295.9048
109.43,0.004877736,283.0615
109.56,0.004873744,270.2273
109.69,0.004869752,257.1683
109.82,0.00486028,243.802
109.96,0.004842824,230.7255
110.09,0.00482636,217.1782
110.22,0.004811896,203.849
110.35,0.00480292,190.6972
110.48,0.004794944,177.4355
110.62,0.004788456,164.4204
110.75,0.004782976,151.3695
110.88,0.004767016,138.4232
111.01,0.004748064,125.6833
111.14,0.004732104,113.0795
111.28,0.004722128,100.4761
111.41,0.004715144,87.6946
111.54,0.004714144,75.0292
111.67,0.004705168,62.5199
111.87,0.004674248,44.2505
112,0.004658288,32.2131
112.13,0.004650312,20.5067
112.27,0.004642328,8.9888
112.4,0.004638336,-2.6405
112.53,0.004626368,-14.128
112.66,0.004607416,-25.332
112.79,0.004590464,-36.1218
112.99,0.004573504,-51.3975
113.19,0.004562536,-66.232
113.39,0.004544576,-80.6825
113.59,0.004522632,-94.8608
113.78,0.00450268,-108.3021
113.98,0.004494704,-121.3373
114.18,0.004478744,-134.1217
114.38,0.004452808,-146.1835
114.58,0.004429872,-157.3188
114.84,0.00442388,-171.2178
115.1,0.00439496,-183.9339
115.37,0.004366032,-195.342
115.7,0.004351072,-208.0356
116.03,0.004318152,-219.506
116.42,0.004303192,-231.8383
116.82,0.004277256,-243.6286
117.28,0.004249328,-255.3747
117.81,0.004197456,-266.7039
118.73,0.004156064,-283.1223
119.46,0.004127632,-294.1054
120.25,0.004075768,-305.0031
121.24,0.004054824,-315.8235
122.36,0.003982008,-326.8726
123.49,0.003961056,-337.6653
123.75,0.003884256,-339.873
124.01,0.003973024,-342.5762
124.34,0.003866296,-345.4268
124.81,0.003944104,-349.6198
125.14,0.003856824,-352.0413
125.27,0.003775032,-352.9078
125.6,0.003863304,-355.4472
126.06,0.003779024,-358.6281
126.59,0.003866296,-362.2889
126.85,0.003781512,-364.111
127.05,0.003692736,-365.3286
127.38,0.003820416,-367.7765
127.71,0.003742616,-369.8328
127.84,0.003651344,-370.6339
128.17,0.0037466,-373.0468
128.63,0.003654832,-375.4036
129.1,0.003728648,-378.4062
129.36,0.003630896,-379.4089
131.08,0.003523168,-388.8278
131.47,0.003596984,-390.8264
131.93,0.003505216,-392.8031
132.92,0.003421424,-397.4707
133.39,0.003551096,-399.9445
133.65,0.003437384,-400.7441
134.71,0.003350608,-404.6168
135.1,0.003435392,-406.537
135.5,0.003343624,-407.9428
136.55,0.003261832,-412.3462
136.95,0.003334648,-413.9394
137.35,0.003250864,-415.175
138.34,0.003166072,-418.7092
138.8,0.003251856,-420.3055
139.19,0.003170568,-421.4688
139.39,0.003092264,-421.8585
139.85,0.003221936,-423.8297
140.12,0.00314712,-424.598
140.32,0.00305436,-425.2477
140.65,0.003131168,-426.7089
141.17,0.003034152,-428.2366
141.7,0.003111952,-429.8869
142.1,0.003010464,-430.4357
144.14,0.002870064,-436.4423
144.61,0.002956344,-437.6726
145,0.002882536,-438.5107
145.2,0.00280872,-438.868
145.73,0.002907472,-440.4315
146.12,0.002799744,-441.031
147.18,0.002721944,-443.4876
147.64,0.00280224,-444.594
148.1,0.002716952,-445.3971
149.29,0.002642144,-447.8586
150.41,0.002555864,-450.7302
150.88,0.00263716,-451.9128
151.34,0.002564344,-452.8238
151.6,0.00247856,-453.0309
152,0.002564096,-454.0802
152.79,0.002430184,-455.1116
153.25,0.002507488,-456.2133
153.85,0.00241472,-457.1017
155.1,0.002334928,-459.6493
155.76,0.002410232,-461.2259
156.16,0.00231248,-461.4338
157.41,0.002237176,-463.5828
159.92,0.002092536,-467.5272
163.15,0.001952648,-472.4371
