Time,EXX,SXX
0,0,0
0.4,0.0002,12.6
0.8,0.0004,25.2
1.2,0.0006,37.8
1.6,0.0008,50.4
2,0.001,62.9943
2.4,0.0012,75.2878
2.8,0.0014,85.5529
3.2,0.0016,91.9847
3.6,0.0018,95.2299
4,0.002,96.745
4.4,0.0022,97.4702
4.8,0.0024,97.8489
5.2,0.0026,98.0703
5.6,0.0028,98.2136
6,0.003,98.3137
6.4,0.0032,98.3868
6.8,0.0034,98.4416
7.2,0.0036,98.4833
7.6,0.0038,98.5152
8,0.004,98.5397
8.4,0.0042,98.5585
8.8,0.0044,98.5729
9.2,0.0046,98.584
9.6,0.0048,98.5926
10,0.005,98.5992
10.4,0.0052,98.6043
10.8,0.0054,98.6082
11.2,0.0056,98.6112
11.6,0.0058,98.6135
12,0.006,98.6152
12.4,0.0062,98.6166
12.8,0.0064,98.6176
13.2,0.0066,98.6185
13.6,0.0068,98.6191
14,0.007,98.6196
14.4,0.0072,98.6199
14.8,0.0074,98.6202
15.2,0.0076,98.6204
15.6,0.0078,98.6206
16,0.008,98.6207
16.4,0.0082,98.6208
16.8,0.0084,98.6209
17.2,0.0086,98.621
17.6,0.0088,98.621
18,0.009,98.621
18.4,0.0092,98.6211
18.8,0.0094,98.6211
19.2,0.0096,98.6211
19.6,0.0098,98.6211
20,0.01,98.6211
20.4,0.0102,98.6211
20.8,0.0104,98.6211
21.2,0.0106,98.6211
21.6,0.0108,98.6211
22,0.011,98.6211
22.4,0.0112,98.6211
22.8,0.0114,98.6211
23.2,0.0116,98.6211
23.6,0.0118,98.6211
24,0.012,98.6211
24.4,0.0122,98.6212
24.8,0.0124,98.6212
25.2,0.0126,98.6212
25.6,0.0128,98.6212
26,0.013,98.6212
26.4,0.0132,98.6212
26.8,0.0134,98.6212
27.2,0.0136,98.6212
27.6,0.0138,98.6212
28,0.014,98.6212
28.4,0.0142,98.6212
28.8,0.0144,98.6212
29.2,0.0146,98.6212
29.6,0.0148,98.6212
30,0.015,98.6212
30.4,0.0152,98.6212
30.8,0.0154,98.6212
31.2,0.0156,98.6212
31.6,0.0158,98.6212
32,0.016,98.6212
32.4,0.0162,98.6212
32.8,0.0164,98.6212
33.2,0.0166,98.6212
33.6,0.0168,98.6212
34,0.017,98.6212
34.4,0.0172,98.6212
34.8,0.0174,98.6212
35.2,0.0176,98.6212
35.6,0.0178,98.6212
36,0.018,98.6212
36.4,0.0182,98.6212
36.8,0.0184,98.6212
37.2,0.0186,98.6212
37.6,0.0188,98.6212
38,0.019,98.6212
38.4,0.0192,98.6212
38.8,0.0194,98.6212
39.2,0.0196,98.6212
39.6,0.0198,98.6212
40,0.02,98.6212
60,0.02,78.1837
80,0.02,72.8587
100,0.02,70.3546
120,0.02,68.8443
140,0.02,67.8056
160,0.02,67.032
180,0.02,66.4246
200,0.02,65.9297
220,0.02,65.515
240,0.02,65.1602
260,0.02,64.8514
280,0.02,64.5789
300,0.02,64.3358
320,0.02,64.1169
340,0.02,63.9181
360,0.02,63.7364
380,0.02,63.5692
400,0.02,63.4147
420,0.02,63.2711
440,0.02,63.1372
460,0.02,63.0118
480,0.02,62.8941
500,0.02,62.7832
520,0.02,62.6783
540,0.02,62.5791
560,0.02,62.4848
580,0.02,62.3952
600,0.02,62.3098
620,0.02,62.2282
640,0.02,62.1501
660,0.02,62.0754
680,0.02,62.0037
700,0.02,61.9348
720,0.02,61.8685
740,0.02,61.8047
760,0.02,61.7431
780,0.02,61.6837
800,0.02,61.6264
820,0.02,61.5709
840,0.02,61.5172
860,0.02,61.4651
880,0.02,61.4147
900,0.02,61.3657
920,0.02,61.3182
940,0.02,61.2721
960,0.02,61.2272
980,0.02,61.1835
1000,0.02,61.141
1020,0.02,61.0996
1040,0.02,61.0592
1060,0.02,61.0198
1080,0.02,60.9814
1100,0.02,60.944
1120,0.02,60.9074
1140,0.02,60.8716
1160,0.02,60.8366
1180,0.02,60.8025
1200,0.02,60.769
1220,0.02,60.7363
1240,0.02,60.7043
1260,0.02,60.6729
1280,0.02,60.6422
1300,0.02,60.6121
1320,0.02,60.5825
1340,0.02,60.5536
1360,0.02,60.5252
1380,0.02,60.4973
1400,0.02,60.4699
